Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDriven,Chrome 114.0.0.0,,,2023-06-06 11:17:34,2023-06-06 11:18:25,50.582s,PASSED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:17:34,2023-06-06 11:17:43,9.042s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:17:35,2023-06-06 11:17:37,2.041s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:17:37,2023-06-06 11:17:40,2.764s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:17:40,2023-06-06 11:17:40,0.685s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:17:40,2023-06-06 11:17:41,0.645s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:17:41,2023-06-06 11:17:41,0.475s,PASSED
"verifyElementVisible(findTestObject(""Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:17:41,2023-06-06 11:17:43,2.081s,PASSED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:17:43,2023-06-06 11:17:51,7.738s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:17:43,2023-06-06 11:17:45,1.776s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:17:45,2023-06-06 11:17:48,2.354s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:17:48,2023-06-06 11:17:48,0.641s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:17:48,2023-06-06 11:17:49,0.641s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:17:49,2023-06-06 11:17:49,0.458s,PASSED
"verifyElementVisible(findTestObject(""Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:17:49,2023-06-06 11:17:51,1.850s,PASSED
,,,,,,,
