Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OneCS App Android,,Android Suite Run,,2023-06-12 18:42:06,2023-06-12 18:43:31,1m - 24.858s,PASSED
,,,,,,,
Test Cases/Sign In/2.01_Android,,Verify the details displayed on the Sign In Welcome Screen,SignIn,2023-06-12 18:42:06,2023-06-12 18:42:38,31.940s,PASSED
"startApplication(bsApp, true)",,,,2023-06-12 18:42:06,2023-06-12 18:42:26,19.309s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Android Objects/logo""), 0)",,,,2023-06-12 18:42:26,2023-06-12 18:42:26,0.741s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Android Objects/Create a secure""), 0)",,,,2023-06-12 18:42:26,2023-06-12 18:42:27,0.535s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/Sign in Button""), ""Sign in"")",,,,2023-06-12 18:42:27,2023-06-12 18:42:28,0.805s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Dont have an account""), ""Don't have an account?"")",,,,2023-06-12 18:42:28,2023-06-12 18:42:28,0.684s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Create one on our website""), ""Create one on our website"")",,,,2023-06-12 18:42:28,2023-06-12 18:42:29,0.753s,PASSED
"tap(findTestObject(""Object Repository/Android Objects/Create one on our website""), 0)",,,,2023-06-12 18:42:29,2023-06-12 18:42:31,2.141s,PASSED
"continuebutton = getText(findTestObject(""Object Repository/Android Objects/weburl""), 0)",,,,2023-06-12 18:42:31,2023-06-12 18:42:34,3.000s,PASSED
"Assert.assertEquals(continuebutton, ""charles-stanley.co.uk/services/save"")",,,,2023-06-12 18:42:34,2023-06-12 18:42:34,0.008s,PASSED
pressBack(),,,,2023-06-12 18:42:34,2023-06-12 18:42:36,1.463s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Android Objects/logo""), 0)",,,,2023-06-12 18:42:36,2023-06-12 18:42:36,0.667s,PASSED
getDriver().closeApp(),,,,2023-06-12 18:42:36,2023-06-12 18:42:37,0.167s,PASSED
getDriver().quit(),,,,2023-06-12 18:42:37,2023-06-12 18:42:38,1.479s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-06-12 18:42:38,2023-06-12 18:42:38,0.016s,PASSED
,,,,,,,
Test Cases/Sign In/2.02_Android,,"To verify the details displayed on the ""Sign In Registration"" Screens",SignIn,2023-06-12 18:42:38,2023-06-12 18:43:31,52.683s,PASSED
"startApplication(bsApp, true)",,,,2023-06-12 18:42:38,2023-06-12 18:43:10,31.332s,PASSED
"tap(findTestObject(""Object Repository/Android Objects/Sign in Button""), 0)",,,,2023-06-12 18:43:10,2023-06-12 18:43:12,1.948s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Sign in step 1 of 4""), ""Sign in step 1 of 4"")",,,,2023-06-12 18:43:12,2023-06-12 18:43:12,0.552s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Android Objects/X_Button""), 0)",,,,2023-06-12 18:43:12,2023-06-12 18:43:13,0.443s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Username  password""), ""Username & password"")",,,,2023-06-12 18:43:13,2023-06-12 18:43:13,0.549s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Please enter your username and password associated with your Charles Stanley account""), ""Please enter your username and password associated with your Charles Stanley account."")",,,,2023-06-12 18:43:13,2023-06-12 18:43:14,0.482s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/Usernamefiled""), """")",,,,2023-06-12 18:43:14,2023-06-12 18:43:14,0.930s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/Passwordfiled""), """")",,,,2023-06-12 18:43:14,2023-06-12 18:43:15,0.495s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Android Objects/eyebuttoninsignin""), 0)",,,,2023-06-12 18:43:15,2023-06-12 18:43:15,0.530s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SignIn/android.widget.TextView - Ive forgotten my details""), 0)",,,,2023-06-12 18:43:15,2023-06-12 18:43:16,0.498s,PASSED
getDriver().closeApp(),,,,2023-06-12 18:43:16,2023-06-12 18:43:16,0.183s,PASSED
getDriver().quit(),,,,2023-06-12 18:43:16,2023-06-12 18:43:31,14.650s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-06-12 18:43:31,2023-06-12 18:43:31,0.000s,PASSED
